[INFO ] 2024-07-25 19:05:09,977 framework.utils.initializers.TestInit - *** Test Suite SpamApiAutomation started ***
[INFO ] 2024-07-25 19:05:10,034 framework.utils.LogUtils - Excel Path: src/main/resources/spamTestData.xlsx
[DEBUG] 2024-07-25 19:05:10,347 org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /customXml/_rels/item1.xml.rels
[DEBUG] 2024-07-25 19:05:10,372 org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/tables/_rels/table1.xml.rels
[DEBUG] 2024-07-25 19:05:10,376 org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
[DEBUG] 2024-07-25 19:05:10,379 org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
[DEBUG] 2024-07-25 19:05:10,383 org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
[DEBUG] 2024-07-25 19:05:11,083 org.apache.poi.ooxml.POIXMLFactory - using default POIXMLDocumentPart for http://schemas.openxmlformats.org/officeDocument/2006/relationships/connections
[DEBUG] 2024-07-25 19:05:13,874 org.apache.poi.ooxml.POIXMLFactory - using default POIXMLDocumentPart for http://schemas.openxmlformats.org/officeDocument/2006/relationships/customXml
[DEBUG] 2024-07-25 19:05:13,919 org.apache.poi.ooxml.POIXMLFactory - using default POIXMLDocumentPart for http://schemas.openxmlformats.org/officeDocument/2006/relationships/queryTable
[DEBUG] 2024-07-25 19:05:13,919 org.apache.poi.ooxml.POIXMLFactory - using default POIXMLDocumentPart for http://schemas.openxmlformats.org/officeDocument/2006/relationships/customXmlProps
[INFO ] 2024-07-25 19:05:15,509 framework.utils.LogUtils - Row: 8221 - Column: 2
[INFO ] 2024-07-25 19:05:15,509 framework.utils.LogUtils - StartRow: 1 - EndRow: 100
[INFO ] 2024-07-25 19:05:20,359 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@1209a0f
[INFO ] 2024-07-25 19:05:20,939 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@7540160e
[INFO ] 2024-07-25 19:05:21,174 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@5f3f3d00
[INFO ] 2024-07-25 19:05:21,341 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@6248cfab
[INFO ] 2024-07-25 19:05:21,449 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@7019d619
[INFO ] 2024-07-25 19:05:21,538 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@38a38ed4
[INFO ] 2024-07-25 19:05:21,619 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@3b30eec5
[INFO ] 2024-07-25 19:05:21,788 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@68d8eb4f
[INFO ] 2024-07-25 19:05:22,013 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@1f7336b2
[INFO ] 2024-07-25 19:05:22,134 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@5611bba
[INFO ] 2024-07-25 19:05:22,759 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@29892a77
[INFO ] 2024-07-25 19:05:23,246 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@7a3643e3
[INFO ] 2024-07-25 19:05:23,334 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@312a738d
[INFO ] 2024-07-25 19:05:23,422 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@20be890d
[INFO ] 2024-07-25 19:05:23,639 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@6e364f1f
[INFO ] 2024-07-25 19:05:23,729 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@55e42684
[INFO ] 2024-07-25 19:05:23,849 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@6ec3d8e4
[INFO ] 2024-07-25 19:05:23,974 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@1760e594
[INFO ] 2024-07-25 19:05:24,049 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@f10d055
[INFO ] 2024-07-25 19:05:24,220 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@70cf7d1e
[INFO ] 2024-07-25 19:05:24,332 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@4aab7195
[INFO ] 2024-07-25 19:05:24,424 framework.utils.initializers.TestInit - [Ljava.lang.StackTraceElement;@e06ec83
